Ticket_ID,Customer_ID,Agent_Name,Department,Priority,Category,Created_Date,Closed_Date,Resolution_Time_Hours,SLA_Status,CSAT_Score,Region,Channel,Status
TS-1001,CU-1655,Emily Davis,Technical,Medium,Speed Issue,2026-05-20 09:37:00,2026-05-22 21:25:00,59.8,Met,3,North America,Email,Closed
TS-1002,CU-1226,Michael Chen,Billing,High,Payment Failure,2026-02-25 13:06:00,2026-02-27 08:33:36,43.46,Met,5,Asia-Pacific,Portal,Closed
TS-1003,CU-1388,Sofia Rodriguez,Account,High,Login Issue,2026-03-16 09:54:00,2026-03-16 14:13:12,4.32,Met,5,Asia-Pacific,Email,Closed
TS-1004,CU-1215,David Lee,Technical,Medium,Speed Issue,2026-06-13 16:14:00,2026-06-16 00:14:00,56.0,Met,4,North America,Phone,Closed
TS-1005,CU-1406,David Lee,Technical,Low,Hardware Malfunction,2026-04-13 13:14:00,,,Breached,,Europe,Portal,Pending
TS-1006,CU-1142,John Doe,Billing,High,Payment Failure,2026-01-17 14:24:00,2026-01-18 16:31:12,26.12,Met,4,North America,Portal,Closed
TS-1007,CU-1118,Marcus Brown,General,Low,Feature Request,2026-02-15 16:58:00,2026-02-18 18:14:12,73.27,Met,4,Asia-Pacific,Phone,Closed
TS-1008,CU-1166,Michael Chen,Billing,Medium,Invoice Copy,2026-03-03 17:05:00,2026-03-04 22:09:12,29.07,Met,,Asia-Pacific,Email,Closed
TS-1009,CU-1487,Priya Patel,General,Medium,Feature Request,2026-04-13 18:41:00,2026-04-14 21:34:24,26.89,Met,,Asia-Pacific,Chat,Closed
TS-1010,CU-1568,Sarah Jenkins,Billing,Low,Payment Failure,2026-01-19 16:15:00,2026-01-20 20:40:12,28.42,Met,5,Europe,Chat,Closed
TS-1011,CU-1417,Marcus Brown,General,Low,General Inquiry,2026-01-14 18:41:00,,,Breached,,North America,Chat,Pending
TS-1012,CU-1101,John Doe,Billing,Medium,Payment Failure,2026-04-19 10:17:00,2026-04-19 18:23:00,8.1,Met,,LATAM,Email,Closed
TS-1013,CU-1772,Priya Patel,General,Medium,Feature Request,2026-01-01 14:16:00,,,Breached,,Europe,Chat,Open
TS-1014,CU-1804,Priya Patel,General,Medium,Feature Request,2026-05-29 16:03:00,2026-05-29 18:20:24,2.29,Met,,Asia-Pacific,Portal,Closed
TS-1015,CU-1984,John Doe,Billing,Low,Payment Failure,2026-06-02 08:39:00,2026-06-06 10:11:24,97.54,Met,3,Europe,Email,Closed
TS-1016,CU-1322,Sofia Rodriguez,Account,Low,Account Security,2026-06-09 17:06:00,2026-06-10 04:40:48,11.58,Met,,Asia-Pacific,Chat,Closed
TS-1017,CU-1854,Sofia Rodriguez,Account,Medium,Reset Password,2026-01-28 16:09:00,2026-01-29 14:06:00,21.95,Met,4,North America,Phone,Closed
TS-1018,CU-1501,Marcus Brown,General,Low,General Inquiry,2026-06-13 12:10:00,2026-06-14 16:09:24,27.99,Met,5,North America,Phone,Closed
TS-1019,CU-1152,Sofia Rodriguez,Account,Low,Reset Password,2026-06-20 09:22:00,2026-06-22 09:27:24,48.09,Met,5,Europe,Portal,Closed
TS-1020,CU-1886,Michael Chen,Billing,High,Payment Failure,2026-04-16 18:55:00,2026-04-17 08:41:12,13.77,Met,,Europe,Chat,Closed
TS-1021,CU-1482,Priya Patel,General,High,General Inquiry,2026-06-18 11:25:00,2026-06-18 14:23:12,2.97,Met,,Europe,Chat,Closed
TS-1022,CU-1994,James Wilson,Account,Medium,Reset Password,2026-03-22 14:38:00,,,Breached,,Europe,Phone,Pending
TS-1023,CU-1119,Priya Patel,General,Low,Feedback,2026-01-18 18:58:00,2026-01-18 21:43:36,2.76,Met,5,Europe,Portal,Closed
TS-1024,CU-1419,David Lee,Technical,Medium,Speed Issue,2026-02-14 17:36:00,2026-02-16 16:58:48,47.38,Met,4,LATAM,Phone,Closed
TS-1025,CU-1453,Alisha Khan,Technical,High,System Bug,2026-03-27 09:52:00,,,Breached,,LATAM,Chat,In Progress
TS-1026,CU-1241,David Lee,Technical,High,System Bug,2026-01-19 15:26:00,,,Breached,,Europe,Phone,Open
TS-1027,CU-1590,Emily Davis,Technical,Medium,Speed Issue,2026-01-28 14:14:00,2026-02-06 16:51:48,218.63,Breached,2,LATAM,Chat,Closed
TS-1028,CU-1468,James Wilson,Account,Medium,Account Security,2026-05-21 15:57:00,2026-05-24 00:51:00,56.9,Met,5,LATAM,Chat,Closed
TS-1029,CU-1797,Michael Chen,Billing,Low,Invoice Copy,2026-05-19 09:08:00,2026-05-20 21:57:48,36.83,Met,4,Europe,Portal,Closed
TS-1030,CU-1478,Priya Patel,General,Low,Partnership,2026-05-28 14:30:00,2026-05-28 21:00:00,6.5,Met,5,North America,Portal,Closed
